_ID,index_in_page,NAME,GROUP,DAY/TIME/ROOM1,DAY/TIME/ROOM2,DAY/TIME/ROOM3,DAY/TIME/ROOM4,PROFESSORS,PROFESSOR1,PROFESSOR2,PROFESSOR3,DAY1,TIME1,DAY2,TIME2,DAY3,TIME3,DAY4,TIME4
0,1,ACABADO DEL CUERO,A,"SABADO/9-13/LAB. DE CURTIDURIA, EDIF. G",,,,JUAN FRANCISCO RAYAS ROJAS,JUAN FRANCISCO RAYAS ROJAS,,,SABADO,9-13,,,,,,
1,2,ADMINISTRACION Y MANEJO DE PERSONAL,A,SABADO/9-12/F1,,,,ALDELMO EMMANUEL ISRAEL REYES PABLO,ALDELMO EMMANUEL ISRAEL REYES PABLO,,,SABADO,9-12,,,,,,
2,3,ALGEBRA LINEAL,A,MARTES/8-10/F6,JUEVES/8-10/F6,,,MIGUEL ANGEL VALLEJO HERNANDEZ,MIGUEL ANGEL VALLEJO HERNANDEZ,,,MARTES,8-10,JUEVES,8-10,,,,
3,4,ALGEBRA LINEAL,B,LUNES/12-14/F2,MIERCOLES/12-14/F2,,,TEODORO CORDOVA FRAGA,TEODORO CORDOVA FRAGA,,,LUNES,12-14,MIERCOLES,12-14,,,,
4,5,ALGEBRA LINEAL AVANZADA,A,LUNES/15-17/G1,MIERCOLES/15-17/G1,,,AZARAEL ADONAY YEBRA PEREZ,AZARAEL ADONAY YEBRA PEREZ,,,LUNES,15-17,MIERCOLES,15-17,,,,
5,6,ANALISIS DE CIRCUITOS,A,"MARTES/12-16/LAB. DE ELECTRONICA, EDIF. G","VIERNES/12-14/LAB. DE ELECTRONICA, EDIF. G",,,HUETZIN AARON PEREZ OLIVAS,HUETZIN AARON PEREZ OLIVAS,,,MARTES,12-16,VIERNES,12-14,,,,
6,7,ANALISIS DE CIRCUITOS,B,"MARTES/10-12/LAB. DE ELECTRONICA, EDIF. G","JUEVES/8-12/LAB. DE ELECTRONICA, EDIF G",,,JOSE MARCO BALLEZA ORDAZ,JOSE MARCO BALLEZA ORDAZ,,,MARTES,10-12,JUEVES,8-12,,,,
7,8,ANALISIS DE CIRCUITOS,C,"JUEVES/12-16/LAB. DE ELECTRONICA, EDIF. G","VIERNES/8-10/LAB. DE ELECTRONICA, EDIF. G",,,EDUARDO MONTES RAMIREZ,EDUARDO MONTES RAMIREZ,,,JUEVES,12-16,VIERNES,8-10,,,,
8,9,ANALISIS DE LA CULTURA MEXICANA,A,LUNES/16-19/AUDITORIO DEL EDIF. G,,,,FERNANDO AGUAS ANGEL,FERNANDO AGUAS ANGEL,,,LUNES,16-19,,,,,,
9,10,ANALISIS VECTORIAL,A,MARTES/10-12/F8,JUEVES/10-12/F9,,,JUAN BARRANCO MONARCA,JUAN BARRANCO MONARCA,,,MARTES,10-12,JUEVES,10-12,,,,
10,11,ANALISIS VECTORIAL,B,MIERCOLES/12-14/F9,VIERNES/8-10/F9,,,JUAN BARRANCO MONARCA,JUAN BARRANCO MONARCA,,,MIERCOLES,12-14,VIERNES,8-10,,,,
11,12,ANATOMIA Y FISIOLOGIA I,A,LUNES/8-10/C2,MIERCOLES/8-10/C2,,,JOSE FIDEL BAIZABAL CARVALLO,JOSE FIDEL BAIZABAL CARVALLO,,,LUNES,8-10,MIERCOLES,8-10,,,,
12,13,ANATOMIA Y FISIOLOGIA II,A,MARTES/8-10/C2,JUEVES/8-10/C2,,,VICTOR HUGO HERNANDEZ GONZALEZ,VICTOR HUGO HERNANDEZ GONZALEZ,,,MARTES,8-10,JUEVES,8-10,,,,
13,14,ARQUITECTURA DE MICROCONTROLADORES,A,"LUNES/8-12/LAB. DE ELECTRONICA, EDIF. G","MIERCOLES/8-10/LAB. DE ELECTRONICA, EDIF. G",,,EDUARDO MONTES RAMIREZ,EDUARDO MONTES RAMIREZ,,,LUNES,8-12,MIERCOLES,8-10,,,,
