_ID,index_in_page,NAME,GROUP,DAY/TIME/ROOM1,DAY/TIME/ROOM2,DAY/TIME/ROOM3,DAY/TIME/ROOM4,PROFESSORS,PROFESSOR1,PROFESSOR2,PROFESSOR3,DAY1,TIME1,ROOM1,DAY2,TIME2,ROOM2,DAY3,TIME3,ROOM3,DAY4,TIME4,ROOM4
0,1,ACABADO DEL CUERO,A,"JUEVES/12-14/LAB. DE CURTIDURIA, EDIF. G","SABADO/12-14/LAB. DE CURTIDURIA, EDIF. G",,,JUAN FRANCISCO RAYAS ROJAS,JUAN FRANCISCO RAYAS ROJAS,,,JUEVES,12-14,"LAB. DE CURTIDURIA, EDIF. G",SABADO,12-14,"LAB. DE CURTIDURIA, EDIF. G",,,,,,
1,2,ADMINISTRACION Y MANEJO DE PERSONAL,A,SABADO/9-12/F5,,,,ALDELMO EMMANUEL ISRAEL REYES PABLO,ALDELMO EMMANUEL ISRAEL REYES PABLO,,,SABADO,9-12,F5,,,,,,,,,
2,3,ALEMAN I,A,SABADO/8-11/F2,,,,MA. ISABEL DELGADILLO CANO,MA. ISABEL DELGADILLO CANO,,,SABADO,8-11,F2,,,,,,,,,
3,4,ALGEBRA LINEAL,A,MARTES/8-10/F6,JUEVES/8-10/F6,,,JOSE LUIS LOPEZ PICON,JOSE LUIS LOPEZ PICON,,,MARTES,8-10,F6,JUEVES,8-10,F6,,,,,,
4,5,ALGEBRA LINEAL,B,LUNES/12-14/F2,MIERCOLES/12-14/F2,,,ERASTO ORTIZ RICARDO,ERASTO ORTIZ RICARDO,,,LUNES,12-14,F2,MIERCOLES,12-14,F2,,,,,,
5,6,ANALISIS DE CIRCUITOS,A,"MARTES/12-16/LAB. DE ELECTRONICA, EDIF. G","VIERNES/12-14/LAB. DE ELECTRONICA, EDIF. G",,,MARIANA VILLAGOMEZ MORA,MARIANA VILLAGOMEZ MORA,,,MARTES,12-16,"LAB. DE ELECTRONICA, EDIF. G",VIERNES,12-14,"LAB. DE ELECTRONICA, EDIF. G",,,,,,
6,7,ANALISIS DE CIRCUITOS,B,"MARTES/10-12/LAB. DE ELECTRONICA, EDIF. G","JUEVES/8-12/LAB. DE ELECTRONICA, EDIF G",,,JOSE MARCO BALLEZA ORDAZ,JOSE MARCO BALLEZA ORDAZ,,,MARTES,10-12,"LAB. DE ELECTRONICA, EDIF. G",JUEVES,8-12,"LAB. DE ELECTRONICA, EDIF G",,,,,,
7,8,ANALISIS DE CIRCUITOS,C,"JUEVES/12-16/LAB. DE ELECTRONICA, EDIF. G","VIERNES/8-10/LAB. DE ELECTRONICA, EDIF. G",,,GILBERTO ANZUETO SANCHEZ,GILBERTO ANZUETO SANCHEZ,,,JUEVES,12-16,"LAB. DE ELECTRONICA, EDIF. G",VIERNES,8-10,"LAB. DE ELECTRONICA, EDIF. G",,,,,,
8,9,ANALISIS DE LA CULTURA MEXICANA,A,LUNES/16-19/AUDITORIO DEL EDIF. G,,,,FERNANDO AGUAS ANGEL,FERNANDO AGUAS ANGEL,,,LUNES,16-19,AUDITORIO DEL EDIF. G,,,,,,,,,
9,10,ANALISIS MATEMATICO,A,LUNES/15-17/G1,MIERCOLES/15-17/G1,,,NOE RICARDO ARELLANO VELAZQUEZ,NOE RICARDO ARELLANO VELAZQUEZ,,,LUNES,15-17,G1,MIERCOLES,15-17,G1,,,,,,
10,11,ANALISIS VECTORIAL,A,MARTES/8-10/C3,JUEVES/10-12/F9,,,EDGAR VALENCIA RODRIGUEZ,EDGAR VALENCIA RODRIGUEZ,,,MARTES,8-10,C3,JUEVES,10-12,F9,,,,,,
11,12,ANALISIS VECTORIAL,B,MIERCOLES/12-14/F9,VIERNES/8-10/F9,,,OWEN PAVEL FERNANDEZ PIEDRA,OWEN PAVEL FERNANDEZ PIEDRA,,,MIERCOLES,12-14,F9,VIERNES,8-10,F9,,,,,,
12,13,ANATOMIA Y FISIOLOGIA I,A,LUNES/8-10/C2,MIERCOLES/8-10/C2,,,JOSE FIDEL BAIZABAL CARVALLO,JOSE FIDEL BAIZABAL CARVALLO,,,LUNES,8-10,C2,MIERCOLES,8-10,C2,,,,,,
13,14,ANATOMIA Y FISIOLOGIA II,A,MARTES/8-10/C2,JUEVES/8-10/C2,,,VICTOR HUGO HERNANDEZ GONZALEZ,VICTOR HUGO HERNANDEZ GONZALEZ,,,MARTES,8-10,C2,JUEVES,8-10,C2,,,,,,
14,15,APLICACIONES BIOMEDICAS DE LA FISICA,A,LUNES/17-19/F9,MIERCOLES/17-19/F9,,,JOSE DE JESUS BERNAL ALVARADO,JOSE DE JESUS BERNAL ALVARADO,,,LUNES,17-19,F9,MIERCOLES,17-19,F9,,,,,,
15,16,ARQUITECTURA DE MICROCONTROLADORES,A,"LUNES/8-12/LAB. DE ELECTRONICA, EDIF. G","MIERCOLES/8-10/LAB. DE ELECTRONICA, EDIF. G",,,EDUARDO MONTES RAMIREZ,EDUARDO MONTES RAMIREZ,,,LUNES,8-12,"LAB. DE ELECTRONICA, EDIF. G",MIERCOLES,8-10,"LAB. DE ELECTRONICA, EDIF. G",,,,,,
16,17,ARQUITECTURA DE MICROCONTROLADORES,B,"MIERCOLES/10-14/LAB. DE ELECTRONICA, EDIF. G","VIERNES/10-12/LAB. DE ELECTRONICA, EDIF. G",,,JABEL JIMENEZ RUVALCABA,JABEL JIMENEZ RUVALCABA,,,MIERCOLES,10-14,"LAB. DE ELECTRONICA, EDIF. G",VIERNES,10-12,"LAB. DE ELECTRONICA, EDIF. G",,,,,,
17,18,ARQUITECTURA DE MICROCONTROLADORES,C,"LUNES/10-14/LAB. DE ELECTRONICA, EDIF D","MIERCOLES/10-12/LAB. DE ELECTRONICA, EDIF. D",,,CARLOS VILLASENOR MORA,CARLOS VILLASENOR MORA,,,LUNES,10-14,"LAB. DE ELECTRONICA, EDIF D",MIERCOLES,10-12,"LAB. DE ELECTRONICA, EDIF. D",,,,,,
18,19,BALANCE DE MATERIA Y ENERGIA,A,LUNES/12-14/C3,MIERCOLES/12-14/C3,,,CARLOS EDUARDO MOLINA GUERRERO,CARLOS EDUARDO MOLINA GUERRERO,,,LUNES,12-14,C3,MIERCOLES,12-14,C3,,,,,,
19,20,BIOESTADISTICA,A,LUNES/15-17/F9,VIERNES/15-17/G1,,,MA. GUADALUPE LEON VERDIN,MA. GUADALUPE LEON VERDIN,,,LUNES,15-17,F9,VIERNES,15-17,G1,,,,,,
20,21,BIOFISICA MEDICA,A,LUNES/10-12/C2,MIERCOLES/10-12/C2,,,VICTOR HUGO HERNANDEZ GONZALEZ/MODESTO ANTONIO SOSA AQUINO,VICTOR HUGO HERNANDEZ GONZALEZ,MODESTO ANTONIO SOSA AQUINO,,LUNES,10-12,C2,MIERCOLES,10-12,C2,,,,,,
21,22,BIOLOGIA CELULAR,A-III,MARTES/12-15/F1,"VIERNES/15-18/ LAB. DE BIOLOGIA, EDIF. G",,,SILVIA ALEJANDRA LOPEZ JUAREZ/ANDREA CEJA FERNANDEZ,SILVIA ALEJANDRA LOPEZ JUAREZ,ANDREA CEJA FERNANDEZ,,MARTES,12-15,F1,VIERNES,15-18,"LAB. DE BIOLOGIA, EDIF. G",,,,,,
