_ID,index_in_page,NAME,GROUP,DAY/TIME/ROOM1,DAY/TIME/ROOM2,DAY/TIME/ROOM3,DAY/TIME/ROOM4,PROFESSORS,PROFESSOR1,PROFESSOR2,PROFESSOR3,PROFESSOR4,DAY1,TIME1,ROOM1,DAY2,TIME2,ROOM2,DAY3,TIME3,ROOM3,DAY4,TIME4,ROOM4
0,1,ADMINISTRACION Y MANEJO DE PERSONAL,A,SABADO/9-12/F6,,,,ALDELMO EMMANUEL ISRAEL REYES PABLO,ALDELMO EMMANUEL ISRAEL REYES PABLO,,,,SABADO,9-12,F6,,,,,,,,,
1,2,ALEMAN I,A,SABADO/8-11/F7,,,,MA. ISABEL DELGADILLO CANO,MA. ISABEL DELGADILLO CANO,,,,SABADO,8-11,F7,,,,,,,,,
2,3,ALGEBRA LINEAL,A,LUNES/8-10/AUDITORIO EDIF. G,MIERCOLES/8-10/AUDITORIO EDIF. G,,,MIGUEL ANGEL VALLEJO HERNANDEZ,MIGUEL ANGEL VALLEJO HERNANDEZ,,,,LUNES,8-10,AUDITORIO EDIF. G,MIERCOLES,8-10,AUDITORIO EDIF. G,,,,,,
3,4,ALGEBRA LINEAL,B,MARTES/8-10/F1,JUEVES/8-10/F1,,,TEODORO CORDOVA FRAGA,TEODORO CORDOVA FRAGA,,,,MARTES,8-10,F1,JUEVES,8-10,F1,,,,,,
4,5,ALGEBRA LINEAL,C,MARTES/10-12/F1,JUEVES/10-12/F1,,,OCTAVIO JOSE OBREGON DIAZ,OCTAVIO JOSE OBREGON DIAZ,,,,MARTES,10-12,F1,JUEVES,10-12,F1,,,,,,
5,6,ALGEBRA LINEAL,D,MIERCOLES/12-14/F1,VIERNES/12-14/F1,,,ERASTO ORTIZ RICARDO,ERASTO ORTIZ RICARDO,,,,MIERCOLES,12-14,F1,VIERNES,12-14,F1,,,,,,
6,7,ALGEBRA LINEAL,E,LUNES/15-17/G1,MIERCOLES/15-17/G1,,,JOSE DE JESUS BERNAL ALVARADO,JOSE DE JESUS BERNAL ALVARADO,,,,LUNES,15-17,G1,MIERCOLES,15-17,G1,,,,,,
7,8,ANALISIS DE CIRCUITOS,A,MARTES/8-10/LAB. DE ELECTRONICA EDIF. G,JUEVES/8-12/LAB. DE ELECTRONICA EDIF. G,,,CARLOS VILLASENOR MORA,CARLOS VILLASENOR MORA,,,,MARTES,8-10,LAB. DE ELECTRONICA EDIF. G,JUEVES,8-12,LAB. DE ELECTRONICA EDIF. G,,,,,,
8,9,ANALISIS DE CIRCUITOS,B,LUNES/12-16/LAB. DE ELECTRONICA EDIF.G,MIERCOLES/8-10/LAB. DE ELECTRONICA EDIF. G,,,JOSE MARCO BALLEZA ORDAZ,JOSE MARCO BALLEZA ORDAZ,,,,LUNES,12-16,LAB. DE ELECTRONICA EDIF.G,MIERCOLES,8-10,LAB. DE ELECTRONICA EDIF. G,,,,,,
9,10,ANALISIS DE LA CULTURA MEXICANA,A,LUNES/16-19/AUDITORIO DEL EDIF. G,,,,FERNANDO AGUAS ANGEL,FERNANDO AGUAS ANGEL,,,,LUNES,16-19,AUDITORIO DEL EDIF. G,,,,,,,,,
10,11,ANALISIS TENSORIAL,A,MARTES/15-17/F8,JUEVES/15-17/F8,,,OWEN PAVEL FERNANDEZ PIEDRA,OWEN PAVEL FERNANDEZ PIEDRA,,,,MARTES,15-17,F8,JUEVES,15-17,F8,,,,,,
11,12,ANALISIS VECTORIAL,A,LUNES/10-12/F5,MIERCOLES/12-14/G1,,,OWEN PAVEL FERNANDEZ PIEDRA,OWEN PAVEL FERNANDEZ PIEDRA,,,,LUNES,10-12,F5,MIERCOLES,12-14,G1,,,,,,
12,13,ANALISIS VECTORIAL,B,LUNES/10-12/G1,JUEVES/10-12/G1,,,OSCAR LOPEZ AGUAYO,OSCAR LOPEZ AGUAYO,,,,LUNES,10-12,G1,JUEVES,10-12,G1,,,,,,
13,14,ANALISIS VECTORIAL,C,MARTES/15-17/F6,JUEVES/15-17/F6,,,WILFREDO YUPANQUI CARPIO,WILFREDO YUPANQUI CARPIO,,,,MARTES,15-17,F6,JUEVES,15-17,F6,,,,,,
14,15,ANATOMIA Y FISIOLOGIA I,A,LUNES/8-10/C2,MIERCOLES/8-10/C2,,,JOSE FIDEL BAIZABAL CARVALLO,JOSE FIDEL BAIZABAL CARVALLO,,,,LUNES,8-10,C2,MIERCOLES,8-10,C2,,,,,,
15,16,ANATOMIA Y FISIOLOGIA II,A,MARTES/8-10/C2,JUEVES/8-10/C2,,,VICTOR HUGO HERNANDEZ GONZALEZ,VICTOR HUGO HERNANDEZ GONZALEZ,,,,MARTES,8-10,C2,JUEVES,8-10,C2,,,,,,
16,17,ARQUITECTURA DE MICROCONTROLADORES,A,MARTES/10-14/LAB. DE ELECTRONICA EDIF. G,JUEVES/12-14/LAB. DE ELECTRONICA EDIF. G,,,CARLOS VILLASENOR MORA,CARLOS VILLASENOR MORA,,,,MARTES,10-14,LAB. DE ELECTRONICA EDIF. G,JUEVES,12-14,LAB. DE ELECTRONICA EDIF. G,,,,,,
17,18,ASPECTOS BASICOS DEL PROCESO DEL CURTIDO,A,VIERNES/15-19/LAB. DE CURTIDO,,,,JUAN FRANCISCO RAYAS ROJAS,JUAN FRANCISCO RAYAS ROJAS,,,,VIERNES,15-19,LAB. DE CURTIDO,,,,,,,,,
