index_in_page,NAME,GROUP,DAY/TIME/ROOM1,DAY/TIME/ROOM2,DAY/TIME/ROOM3,DAY/TIME/ROOM4,PROFESSORS
1,ADMINISTRACIÓN Y MANEJO DE PERSONAL ,A,SÁBADO/9-13/F6, , , , 
2,ALEMÁN I ,A,SÁBADO/8-11/F7, , , ,MA. ISABEL DELGADILLO CANO
3,ALGEBRA LINEAL,A,LUNES/8-10/AUDITORIO EDIF. G,MIÉRCOLES/8-10/AUDITORIO EDIF. G, , ,MIGUEL ÁNGEL VALLEJO HERNÁNDEZ
4,ÁLGEBRA LINEAL ,B,MARTES/8-10/F1,JUEVES/8-10/F1, , ,TEODORO CÓRDOVA FRAGA
5,ÁLGEBRA LINEAL ,C,MARTES/10-12/F1,JUEVES/10-12/F1, , ,OCTAVIO JOSÉ OBREGÓN DÍAZ
6,ÁLGEBRA LINEAL ,D,MIÉRCOLES/12-14/F1,VIERNES/12-14/F1, , ,ERASTO ORTIZ RICARDO
7,ÁLGEBRA LINEAL ,E,LUNES/15-17/G1,MIÉRCOLES/15-17/G1, , ,JOSÉ DE JESÚS BERNAL ALVARADO
8,ANÁLISIS DE CIRCUITOS,A,MARTES/8-10/LAB. DE ELECTRÓNICA EDIF. G,JUEVES/8-12/LAB. DE ELECTRÓNICA EDIF. G, , ,CARLOS VILLASEÑOR MORA
9,ANÁLISIS DE CIRCUITOS,B,LUNES/12-16/LAB. DE ELECTRÓNICA EDIF.G,MIÉRCOLES/8-10/LAB. DE ELECTRÓNICA EDIF. G, , ,JOSÉ MARCO BALLEZA ORDAZ
10,ANÁLISIS DE LA CULTURA MEXICANA,A,LUNES/16-19/AUDITORIO DEL EDIF. G, , , ,FERNANDO AGUAS ÁNGEL
11,ANÁLISIS TENSORIAL,A,MARTES15-17/F8,JUEVES/15-17/F8, , ,OWEN PAVEL FERNÁNDEZ PIEDRA
12,ANÁLISIS VECTORIAL,A,LUNES/10-12/F5,MIÉRCOLES/12-14/G1, , , 
13,ANÁLISIS VECTORIAL,B,LUNES/10-12/G1,JUEVES/10-12/G1, , , 
14,ANÁLISIS VECTORIAL,C,MARTES/15-17/F6,JUEVES/15-17/F6, , , 
15,ANATOMÍA Y FISIOLOGÍA I,A,LUNES/8-10/C2,MIÉRCOLES/8-10/C2, , ,JOSÉ FIDEL BAIZABAL CARVALLO
16,ANATOMÍA Y FISIOLOGÍA II,A,MARTES/8-10/C2,JUEVES/8-10/C2, , ,VÍCTOR HUGO HERNÁNDEZ GONZÁLEZ
17,ARQUITECTURA DE MICROCONTROLADORES,A,MARTES/10-14/LAB. DE ELECTRÓNICA EDIF. G,JUEVES/12-14/LAB. DE ELECTRÓNICA EDIF. G, , ,CARLOS VILLASEÑOR MORA
18,ASPECTOS BÁSICOS DEL PROCESO DEL CURTIDO,A,VIERNES/15-19/LAB. DE CURTIDO, , , ,JUAN FRANCISCO RAYAS ROJAS
19,BALANCE DE MATERIA Y ENERGÍA ,A,LUNES/12-14/F8,JUEVES/10-12/F8, , ,CARLOS EDUARDO MOLINA GUERRERO
